"caseId","lexisCite","term","justiceName","vote"
"2005-005","2005 U.S. LEXIS 8373",2005,"JPStevens",1
"2005-005","2005 U.S. LEXIS 8373",2005,"SDOConnor",1
"2005-005","2005 U.S. LEXIS 8373",2005,"AScalia",1
"2005-005","2005 U.S. LEXIS 8373",2005,"AMKennedy",1
"2005-005","2005 U.S. LEXIS 8373",2005,"DHSouter",1
"2005-005","2005 U.S. LEXIS 8373",2005,"CThomas",1
"2005-005","2005 U.S. LEXIS 8373",2005,"RBGinsburg",1
"2005-005","2005 U.S. LEXIS 8373",2005,"SGBreyer",1
"2005-005","2005 U.S. LEXIS 8373",2005,"JGRoberts",1
"2005-006","2005 U.S. LEXIS 8372",2005,"JPStevens",1
"2005-006","2005 U.S. LEXIS 8372",2005,"SDOConnor",1
"2005-006","2005 U.S. LEXIS 8372",2005,"AScalia",1
"2005-006","2005 U.S. LEXIS 8372",2005,"AMKennedy",1
"2005-006","2005 U.S. LEXIS 8372",2005,"DHSouter",1
"2005-006","2005 U.S. LEXIS 8372",2005,"CThomas",1
"2005-006","2005 U.S. LEXIS 8372",2005,"RBGinsburg",1
"2005-006","2005 U.S. LEXIS 8372",2005,"SGBreyer",1
"2005-006","2005 U.S. LEXIS 8372",2005,"JGRoberts",1
"2005-007","2005 U.S. LEXIS 8554",2005,"JPStevens",1
"2005-007","2005 U.S. LEXIS 8554",2005,"SDOConnor",1
"2005-007","2005 U.S. LEXIS 8554",2005,"AScalia",1
"2005-007","2005 U.S. LEXIS 8554",2005,"AMKennedy",1
"2005-007","2005 U.S. LEXIS 8554",2005,"DHSouter",1
"2005-007","2005 U.S. LEXIS 8554",2005,"CThomas",1
"2005-007","2005 U.S. LEXIS 8554",2005,"RBGinsburg",2
"2005-007","2005 U.S. LEXIS 8554",2005,"SGBreyer",2
"2005-007","2005 U.S. LEXIS 8554",2005,"JGRoberts",NA
"2005-008","2005 U.S. LEXIS 8553",2005,"JPStevens",1
"2005-008","2005 U.S. LEXIS 8553",2005,"SDOConnor",1
"2005-008","2005 U.S. LEXIS 8553",2005,"AScalia",1
"2005-008","2005 U.S. LEXIS 8553",2005,"AMKennedy",1
"2005-008","2005 U.S. LEXIS 8553",2005,"DHSouter",1
"2005-008","2005 U.S. LEXIS 8553",2005,"CThomas",1
"2005-008","2005 U.S. LEXIS 8553",2005,"RBGinsburg",1
"2005-008","2005 U.S. LEXIS 8553",2005,"SGBreyer",1
"2005-008","2005 U.S. LEXIS 8553",2005,"JGRoberts",1
"2005-010","2005 U.S. LEXIS 9037",2005,"JPStevens",1
"2005-010","2005 U.S. LEXIS 9037",2005,"SDOConnor",1
